config,test_mse,test_mae,test_r2,train_mse,train_mae,train_r2
nnr_82,0.5127061203349508,0.6447476459915917,-0.8333812243982717,0.3816861932588404,0.33579408294420615,-0.8660656068943451
nnr_41,0.3936510765476875,0.5128598286087792,-0.4076533594629268,0.22015587191938735,0.2125951906867437,-0.07634310069477457
nnr_20,0.8230717407156888,0.6399830704465546,-1.9432148669789906,0.41759560418896025,0.32153106633782974,-1.0416268870349925
tr_default,0.08596954972239218,0.22905423945480932,0.6925822570090685,0.0,0.0,1.0
tr_d3f1,0.03863129373663945,0.18674066769525116,0.8618587026722077,0.05513523850987148,0.1775417934378203,0.7304435577489812
tr_d3f3,0.2596972121674823,0.44269636645972044,0.07135106461107821,0.0580980309710349,0.17879138850700454,0.7159584513715714
svr_rbf,0.07697616655393713,0.26177509841208113,0.7247416153449766,0.008088731982864613,0.08565094326828956,0.9604541510193587
svr_poly,0.1455891582572084,0.3597968083719774,0.47938903274582434,0.029083619882572808,0.13219642090550746,0.8578100446246606
svr_linear,0.02345791920712813,0.14686824328790998,0.9161170367740029,0.007459177355721106,0.07909960460763239,0.9635320465736709
linear_reg,0.0005382967148230609,0.018048261404771095,0.9980751095979367,9.412544891841618e-31,7.468773074751053e-16,1.0
