config,test_mse,test_mae,test_r2,train_mse,train_mae,train_r2
nnr_82,0.6530580389007337,0.6210172685309615,-1.3352643931396075,0.23256688913939663,0.30397866332491225,-0.13702062267453097
nnr_41,0.5166228300798938,0.5877808300906857,-0.8473869517008932,0.23797473241846062,0.32678655994800043,-0.16345959408289024
nnr_20,0.16300913369697456,0.3447519799484805,0.4170970985674659,0.3571226347090178,0.3000309146782581,-0.745974252786404
tr_default,0.12072775990351767,0.24336014645938828,0.5682906844837927,0.0,0.0,1.0
tr_d3f1,0.08261964556429022,0.24455537618715137,0.7045611492894757,0.033090230795387324,0.12051745074117712,0.8382217048925487
tr_d3f3,0.2956709788995021,0.43206422658250093,-0.057287205699174226,0.06114415011590826,0.17479881673357978,0.7010659604427842
svr_rbf,0.06740467400955731,0.245781523206925,0.7589682298212576,0.007854775814719687,0.08497762077124346,0.9615979638336724
svr_poly,0.11960355087872823,0.31480812258131874,0.5723107334681925,0.026276415362658238,0.13014492745799133,0.871534480820283
svr_linear,0.021091556844571594,0.14146149243684186,0.9245788907553824,0.006455138776897348,0.07279805344719881,0.9684407959416824
linear_reg,0.004253650062967318,0.056801169923138065,0.984789410831472,7.440392628789089e-31,7.065055611250996e-16,1.0
