config,test_mse,test_mae,test_r2,train_mse,train_mae,train_r2
nnr_82,0.9998701437242643,0.8372923634489975,-2.5754266930593213,0.23340479330043407,0.37130742354102986,-0.1411171400870046
nnr_41,0.7173146031477804,0.6938503803278119,-1.5650388658100596,0.4539681515659058,0.38192722073905544,-1.219452443458053
nnr_20,1.1493922468397417,0.8025597458615936,-3.110101442612475,0.3651988744146355,0.34789291768245023,-0.7854590269644088
tr_default,0.5337006986379584,0.5870598158484648,-0.9084555489445583,0.0,0.0,1.0
tr_d3f1,0.21816983224377004,0.3333356925844522,0.21984845060063585,0.02477931150403911,0.11693731599757111,0.87885382867687
tr_d3f3,0.10797315868429,0.2171113645445785,0.6138997487655737,0.035277333843836516,0.14662558258691966,0.8275289477283483
svr_rbf,0.10344566755086622,0.3041633384575255,0.6300895637656873,0.008398442764705529,0.08714379643276228,0.958939973539835
svr_poly,0.16867443896824916,0.3920314617200438,0.3968385841809908,0.033091666833529376,0.14374553151086944,0.8382146840952696
svr_linear,0.11371286330266181,0.32629673256483055,0.5933751904200634,0.009079338115287024,0.09318070625936091,0.955611072945433
linear_reg,0.1253156752013906,0.3377564260945977,0.5518847992551267,1.4522212118841353e-30,1.0092936587501424e-15,1.0
