config,test_mse,test_mae,test_r2,train_mse,train_mae,train_r2
nnr_82,0.3988082148201485,0.48777786030128406,-0.42609472402900384,0.32587495871511823,0.32935672600056337,-0.5932042168316292
nnr_41,1.48789140776998,0.8804532902881907,-4.32053756090697,0.2964300024045372,0.36415580854885743,-0.44924768594810316
nnr_20,0.8674649823710393,0.8523729397232811,-2.1019602622707865,0.5180455480865988,0.425769685752631,-1.5327271385830832
tr_default,0.16963796158633698,0.3079085638497361,0.393393132279361,0.0,0.0,1.0
tr_d3f1,0.08614498799889558,0.22077629549360633,0.691954908847178,0.06231336478599501,0.18774177901130712,0.6953496643821468
tr_d3f3,0.17640415017947064,0.37320766384330256,0.36919797908071217,0.08106341506567008,0.197297853667079,0.6036805797456122
svr_rbf,0.11937476128169944,0.32381507051318936,0.573128860139386,0.015324572281435833,0.11619264053625847,0.9250780935233855
svr_poly,0.17127086129996522,0.38206562104127995,0.3875540608160918,0.03214827955194611,0.1437592415067945,0.8428269089837666
svr_linear,0.20043455355779033,0.34077408990612507,0.2832678748335741,0.03390156826693244,0.13828866937358827,0.8342550721508497
linear_reg,1.2562110186328759,0.8747771127265656,-3.4920737321004065,1.6485400053425463e-29,3.2095538348254527e-15,1.0
